"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24","24","1.6nf","","","","Capacitor_SMD:C_0201_0603Metric","~"
"C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C43,C45,C47","18","10uF","","","","","~"
"C40,C41,C42,C44,C46,C48","6","0.1uF","","","","","~"
"LS1","1","Speaker_Ultrasound","","","","Sonar:MA40S4","kicad-embed://ultrasonics.pdf"
"MK1,MK2,MK3,MK4,MK5,MK6,MK7,MK8,MK9,MK10,MK11,MK12,MK13,MK14,MK15,MK16,MK17,MK18,MK19,MK20,MK21,MK22,MK23,MK24","24","Microphone_Ultrasound","","","","Sonar:MA40S4","kicad-embed://ultrasonics.pdf"
"R1,R5,R9,R13,R17,R21,R25,R29,R33,R37,R41,R45,R49,R53,R57,R61,R65,R69,R73,R77,R81,R85,R89,R93","24","10k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R2,R4,R6,R8,R10,R12,R14,R16,R18,R20,R22,R24,R26,R28,R30,R32,R34,R36,R38,R40,R42,R44,R46,R48,R50,R52,R54,R56,R58,R60,R62,R64,R66,R68,R70,R72,R74,R76,R78,R80,R82,R84,R86,R88,R90,R92,R94,R96","48","100k","","","","Resistor_SMD:R_0201_0603Metric","~"
"R3,R7,R11,R15,R19,R23,R27,R31,R35,R39,R43,R47,R51,R55,R59,R63,R67,R71,R75,R79,R83,R87,R91,R95,R97,R98,R99,R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119,R120","48","1k","","","","Resistor_SMD:R_0201_0603Metric","~"
"U1,U18,U35","3","ADS8568SPM","","","","Package_QFP:LQFP-64-1EP_10x10mm_P0.5mm_EP6.5x6.5mm_ThermalVias","https://www.ti.com/lit/gpn/ads8568"
"U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51","48","","","","","Package_TO_SOT_SMD:SOT-23-5","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#sec__SUBCKT_Subcircuits"
"U52","1","STUSB4500QTR","","","","","https://www.st.com/resource/en/datasheet/stusb4500.pdf"
